date,home_team,away_team,tournament,neutral,elo_diff_pre,outcome
1902-03-03,Wales,England,British Home Championship,False,-372.3536581888968,D
1902-03-15,Scotland,Wales,British Home Championship,False,528.9529144534856,H
1902-03-22,Northern Ireland,England,British Home Championship,False,-401.08028665695315,A
1902-05-03,England,Scotland,British Home Championship,False,119.85348481381993,D
1902-07-20,Uruguay,Argentina,Friendly,False,100.0,A
1902-10-12,Austria,Hungary,Friendly,False,100.0,H
1903-02-14,England,Northern Ireland,British Home Championship,False,601.5255194954748,H
1903-03-02,England,Wales,British Home Championship,False,550.6492874510284,H
1903-03-09,Wales,Scotland,British Home Championship,False,-340.25282775452683,A
1903-03-21,Scotland,Northern Ireland,British Home Championship,False,597.0471702907182,A
1903-03-28,Northern Ireland,Wales,British Home Championship,False,94.22011837353602,H
1903-04-04,England,Scotland,British Home Championship,False,152.7048646283547,A
1903-04-05,Hungary,Czechoslovakia,Friendly,False,85.6025999921153,H
1903-06-11,Hungary,Austria,Friendly,False,78.79003344688317,H
1903-09-13,Argentina,Uruguay,Friendly,False,154.4055249832454,A
1903-10-11,Austria,Hungary,Friendly,False,105.66930236466078,H
1904-02-29,Wales,England,British Home Championship,False,-352.1216776219719,D
1904-03-12,Northern Ireland,England,British Home Championship,False,-313.3063661660842,A
1904-03-12,Scotland,Wales,British Home Championship,False,530.306195618077,D
1904-03-21,Wales,Northern Ireland,British Home Championship,False,104.21161277019974,A
1904-03-26,Northern Ireland,Scotland,British Home Championship,False,-287.8549667608645,D
1904-04-09,Scotland,England,British Home Championship,False,70.99448265135152,A
1904-05-01,Belgium,France,Évence Coppée Trophy,False,100.0,D
1904-06-02,Hungary,Austria,Friendly,False,73.18361764438669,H
1904-10-09,Austria,Hungary,Friendly,False,99.08162685893103,H
1905-02-12,France,Switzerland,Friendly,False,104.20194999408659,H
1905-02-25,England,Northern Ireland,British Home Championship,False,514.4932973318075,D
1905-03-06,Wales,Scotland,British Home Championship,False,-294.1629543409374,H
1905-03-18,Scotland,Northern Ireland,British Home Championship,False,397.9073704650225,H
1905-03-27,England,Wales,British Home Championship,False,507.6805375709889,H
1905-04-01,England,Scotland,British Home Championship,False,186.6647908508496,H
1905-04-08,Northern Ireland,Wales,British Home Championship,False,117.36351519202003,D
1905-04-09,Hungary,Austria,Friendly,False,86.47221986786553,D
1905-04-17,Guernsey,Alderney,Muratti Vase,False,100.0,H
1905-04-27,Jersey,Guernsey,Muratti Vase,False,77.05414373743383,A
1905-04-30,Belgium,Netherlands,Friendly,False,95.79805000591341,A
1905-05-07,Belgium,France,Friendly,False,62.301887546263515,H
1905-05-14,Netherlands,Belgium,Friendly,False,130.10710041911557,H
1905-07-21,Guyana,Trinidad and Tobago,Friendly,False,100.0,A
1905-08-15,Argentina,Uruguay,Copa Lipton,False,126.05958120600644,D
1906-02-17,Northern Ireland,England,British Home Championship,False,-307.43093954378037,A
1906-03-03,Scotland,Wales,British Home Championship,False,413.091758016667,A
1906-03-17,Northern Ireland,Scotland,British Home Championship,False,-173.04739472488927,A
1906-03-19,Wales,England,British Home Championship,False,-282.58292667981505,A
1906-03-29,Jersey,Guernsey,Muratti Vase,False,40.50773485300783,A
1906-04-01,Hungary,Czechoslovakia,Friendly,False,102.1746381952837,D
1906-04-02,Wales,Northern Ireland,British Home Championship,False,145.47979691049704,D
1906-04-02,Guernsey,Alderney,Muratti Vase,False,180.90589501282238,H
1906-04-07,Scotland,England,British Home Championship,False,-48.690434357753475,H
1906-04-22,France,Belgium,Friendly,False,112.72141097386407,A
1906-04-29,Belgium,Netherlands,Friendly,False,72.08453919167687,H
1906-05-13,Netherlands,Belgium,Friendly,False,96.09743443024581,A
1906-07-09,Argentina,South Africa,Friendly,False,107.81424349198096,A
1906-08-15,Uruguay,Argentina,Copa Lipton,False,97.37874336226037,A
1906-10-07,Czechoslovakia,Hungary,Friendly,False,103.54311721807585,D
1906-10-21,Argentina,Uruguay,Copa Newton,False,159.91358572593413,H
1906-11-04,Hungary,Austria,Friendly,False,81.63090387409034,H
1907-02-16,England,Northern Ireland,British Home Championship,False,514.8935690876924,H
1907-02-23,Northern Ireland,Wales,British Home Championship,False,64.92344615548541,A
1907-03-04,Wales,Scotland,British Home Championship,False,-149.0051647102307,H
1907-03-16,Scotland,Northern Ireland,British Home Championship,False,398.5576434274931,H
1907-03-18,England,Wales,British Home Championship,False,443.92539143105705,D
1907-03-21,Alderney,Jersey,Muratti Vase,True,4.241800609937172,A
1907-04-04,Jersey,Guernsey,Muratti Vase,False,14.382377301794577,A
1907-04-06,England,Scotland,British Home Championship,False,219.40453734636435,D
1907-04-07,Hungary,Czechoslovakia,Friendly,False,113.78605399309936,H
1907-04-14,Belgium,Netherlands,Friendly,False,129.29750002875426,A
1907-04-21,Belgium,France,Friendly,False,148.08761215112054,A
1907-05-05,Austria,Hungary,Friendly,False,83.32558782845376,H
1907-05-09,Netherlands,Belgium,Friendly,False,125.400238612679,A
1907-10-06,Czechoslovakia,Hungary,Friendly,False,73.75353752497722,H
1907-11-03,Hungary,Austria,Friendly,False,81.87168976572184,H
1908-02-15,Northern Ireland,England,British Home Championship,False,-319.19369762937527,A
1908-03-07,Scotland,Wales,British Home Championship,False,307.2307989648009,H
1908-03-08,Switzerland,France,Friendly,False,112.37943092226442,A
1908-03-14,Northern Ireland,Scotland,British Home Championship,False,-227.1142771013424,A
1908-03-16,Wales,England,British Home Championship,False,-220.41552293783707,A
1908-03-29,Belgium,Netherlands,Friendly,False,101.52043604098344,A
1908-04-02,Guernsey,Alderney,Muratti Vase,True,127.36265310114231,H
1908-04-04,Scotland,England,British Home Championship,False,-5.656466236444658,D
1908-04-05,Hungary,Czechoslovakia,Friendly,False,115.97176193373821,H
1908-04-05,Switzerland,Germany,Friendly,False,79.78610245891355,H
1908-04-09,Guernsey,Jersey,Muratti Vase,False,233.89514461277918,A
1908-04-11,Wales,Northern Ireland,British Home Championship,False,209.9251955685752,A
1908-04-12,France,Belgium,Friendly,False,102.09440294925616,A
1908-04-26,Netherlands,Belgium,Friendly,False,130.56832974903114,H
1908-05-03,Austria,Hungary,Friendly,False,79.36025814846926,H
1908-05-10,Netherlands,France,Friendly,False,163.80154718623476,H
1908-06-06,Austria,England,Friendly,False,-115.23336379789521,A
1908-06-07,Austria,Germany,Friendly,False,112.03014251718037,H
1908-06-08,Austria,England,Friendly,False,-135.54979700254717,A
1908-06-10,Hungary,England,Friendly,False,-153.772064713502,A
1908-06-13,Czechoslovakia,England,Friendly,False,-192.08101839621372,A
1908-07-12,Sweden,Norway,Friendly,False,100.0,H
1908-08-15,Uruguay,Argentina,Copa Lipton,False,22.995499975035045,D
1908-09-13,Argentina,Uruguay,Copa Newton,False,178.98719679216833,H
1908-10-04,Argentina,Uruguay,Copa Premio Honor Argentino,False,194.7683683201874,A
1908-10-22,France,Denmark,Olympic Games,True,-29.008450300012555,A
1908-10-23,Netherlands,Sweden,Olympic Games,True,37.31798221446638,H
